id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
50646,Pleasant Room along Bukit Timah,227796,Sujatha,Central Region,Bukit Timah,1.33432,103.78521,Private room,80,92,18,2014-12-26,0.19,1,365,0,
71609,Ensuite Room (Room 1 & 2) near EXPO,367042,Belinda,East Region,Tampines,1.34537,103.95887,Private room,179,92,20,2020-01-17,0.16,6,365,0,
71896,B&B  Room 1 near Airport & EXPO,367042,Belinda,East Region,Tampines,1.34754,103.95958,Private room,81,92,24,2019-10-13,0.18,6,365,0,
71903,Room 2-near Airport & EXPO,367042,Belinda,East Region,Tampines,1.34531,103.961,Private room,81,92,47,2020-01-09,0.35,6,365,0,
275343,"Conveniently located City Room!(1,2,3,4,5,6,7,8)",1439258,Joyce,Central Region,Bukit Merah,1.29015,103.80814,Private room,52,14,20,2020-04-17,0.18,26,317,0,S0399
275344,15 mins to Outram MRT Single Room (B),1439258,Joyce,Central Region,Bukit Merah,1.28836,103.81144,Private room,69,14,13,2020-12-27,0.11,26,340,0,S0399
289234,Booking for 3 bedrooms,367042,Belinda,East Region,Tampines,1.3449,103.95979,Private room,272,92,12,2019-01-01,0.10,6,364,0,
294281,5 mins walk from Newton subway,1521514,Elizabeth,Central Region,Newton,1.31142,103.83924,Private room,72,92,133,2020-01-21,1.07,7,365,0,
324945,20 Mins to Sentosa @ Hilltop ! (8),1439258,Joyce,Central Region,Bukit Merah,1.28828,103.8102,Private room,49,14,15,2022-03-06,0.13,26,307,1,S0399
330089,"Accomo@ REDHILL-INSEAD, NTU,NUS -Mu(D)",1439258,Joyce,Central Region,Bukit Merah,1.28652,103.81225,Private room,55,15,11,2022-03-03,0.11,26,331,1,S0399
330095,10 mins to Redhill MRT @ Mini Orange Room(5),1439258,Joyce,Central Region,Bukit Merah,1.28636,103.81138,Private room,65,60,3,2016-08-22,0.03,26,364,0,S0399
344803,Budget short stay room near  EXPO,367042,Belinda,East Region,Tampines,1.34917,103.9609,Private room,48,92,58,2020-02-10,0.47,6,365,0,
355955,Double room in an Authentic Peranakan Shophouse,1759905,Aresha,Central Region,Geylang,1.31374,103.9019,Private room,65,92,0,,,1,174,0,
369141,5mins from Newton Train Station,1521514,Elizabeth,Central Region,Newton,1.31144,103.83784,Private room,69,92,81,2020-01-04,0.78,7,365,0,
369145,5 mins walk from Newton MRT,1521514,Elizabeth,Central Region,Newton,1.31129,103.83788,Private room,66,92,165,2020-01-10,1.36,7,365,0,
395191,Heritage Apartment Room near Orchard,1975201,Adi,Central Region,River Valley,1.29335,103.83768,Private room,59,93,27,2017-08-07,0.26,1,58,0,
481789,Master Bedroom in Newly Built Flat,2386154,Susan,East Region,Tampines,1.34816,103.93238,Private room,37,180,0,,,1,0,0,
606784,"Ensuite room, pool, near airport, expo and sutd.",813925,Happy,East Region,Tampines,1.34361,103.95717,Private room,83,92,80,2020-02-07,0.86,1,91,0,
